ID,user,system,series,title,date,p1,p2,p3
a1b2c301-0000-0000-0000-000000000001,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-23,28,91,44
a1b2c301-0000-0000-0000-000000000002,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-22,31,88,52
a1b2c301-0000-0000-0000-000000000003,BATCHJOB,QA_GRP,DBB_WEEKLY,Full Code Scan,2026-04-21,45,120,73
a1b2c301-0000-0000-0000-000000000004,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-20,22,79,38
a1b2c301-0000-0000-0000-000000000005,DEVUSER1,DEV_GRP,HOTFIX_RUN,Hotfix Validation,2026-04-19,8,14,6
a1b2c301-0000-0000-0000-000000000006,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-18,35,95,60
a1b2c301-0000-0000-0000-000000000007,RELMANAGER,PROD_GRP,DBB_RELEASE,Pre-Release Gate,2026-04-17,49,114,192
a1b2c301-0000-0000-0000-000000000008,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-16,12,50,22
a1b2c301-0000-0000-0000-000000000009,PERFBOT,QA_GRP,DBB_PERF,Performance Scan,2026-04-15,20,75,40
a1b2c301-0000-0000-0000-000000000010,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-14,35,110,68
a1b2c301-0000-0000-0000-000000000011,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-13,27,91,55
a1b2c301-0000-0000-0000-000000000012,BATCHJOB,QA_GRP,DBB_WEEKLY,Full Code Scan,2026-04-12,19,68,42
a1b2c301-0000-0000-0000-000000000013,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-11,22,85,44
a1b2c301-0000-0000-0000-000000000014,RELMANAGER,PROD_GRP,DBB_RELEASE,Pre-Release Gate,2026-04-10,35,72,28
a1b2c301-0000-0000-0000-000000000015,ATCUSER,SBX_GRP,DBB_DAILY,Daily Nightly Check,2026-04-09,18,62,33
a1b2c301-0000-0000-0000-000000000016,PERFBOT,QA_GRP,DBB_PERF,Performance Scan,2026-04-08,15,55,29
a1b2c301-0000-0000-0000-000000000017,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-07,24,88,47
a1b2c301-0000-0000-0000-000000000018,DEVUSER1,DEV_GRP,HOTFIX_RUN,Hotfix Validation,2026-04-06,5,12,8
a1b2c301-0000-0000-0000-000000000019,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-05,31,95,55
a1b2c301-0000-0000-0000-000000000020,BATCHJOB,QA_GRP,DBB_WEEKLY,Full Code Scan,2026-04-04,42,115,70
a1b2c301-0000-0000-0000-000000000021,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-04-03,20,77,40
a1b2c301-0000-0000-0000-000000000022,ATCUSER,SBX_GRP,DBB_DAILY,Daily Nightly Check,2026-04-02,17,65,35
a1b2c301-0000-0000-0000-000000000023,RELMANAGER,PROD_GRP,DBB_RELEASE,Pre-Release Gate,2026-04-01,38,108,85
a1b2c301-0000-0000-0000-000000000024,PERFBOT,QA_GRP,DBB_PERF,Performance Scan,2026-03-31,22,80,44
a1b2c301-0000-0000-0000-000000000025,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-03-30,25,90,48
a1b2c301-0000-0000-0000-000000000026,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-03-29,19,72,38
a1b2c301-0000-0000-0000-000000000027,BATCHJOB,QA_GRP,DBB_WEEKLY,Full Code Scan,2026-03-28,33,98,62
a1b2c301-0000-0000-0000-000000000028,DEVUSER1,DEV_GRP,HOTFIX_RUN,Hotfix Validation,2026-03-27,4,10,5
a1b2c301-0000-0000-0000-000000000029,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-03-26,28,88,50
a1b2c301-0000-0000-0000-000000000030,ATCUSER,SBX_GRP,DBB_DAILY,Daily Nightly Check,2026-03-25,21,75,42
a1b2c301-0000-0000-0000-000000000031,RELMANAGER,PROD_GRP,DBB_RELEASE,Pre-Release Gate,2026-03-24,41,110,90
a1b2c301-0000-0000-0000-000000000032,PERFBOT,QA_GRP,DBB_PERF,Performance Scan,2026-03-23,18,68,35
a1b2c301-0000-0000-0000-000000000033,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-03-22,22,82,44
a1b2c301-0000-0000-0000-000000000034,BATCHJOB,QA_GRP,DBB_WEEKLY,Full Code Scan,2026-03-21,38,105,68
a1b2c301-0000-0000-0000-000000000035,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-03-20,24,85,46
a1b2c301-0000-0000-0000-000000000036,DEVUSER1,DEV_GRP,HOTFIX_RUN,Hotfix Validation,2026-03-19,6,15,7
a1b2c301-0000-0000-0000-000000000037,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-03-18,29,92,52
a1b2c301-0000-0000-0000-000000000038,ATCUSER,SBX_GRP,DBB_DAILY,Daily Nightly Check,2026-03-17,16,60,30
a1b2c301-0000-0000-0000-000000000039,RELMANAGER,PROD_GRP,DBB_RELEASE,Pre-Release Gate,2026-03-16,44,118,95
a1b2c301-0000-0000-0000-000000000040,ATCUSER,PROD_GRP,DBB_DAILY,Daily Nightly Check,2026-03-15,26,88,48
